🕘️Update time,#genre#
2026-03-26 14:44:05,https://cdn.jmvstream.com/w/LVW-10801/LVW10801_Xvg4R0u57n/playlist.m3u8

📺 TV Aberta,#genre#
SBT,https://cdn.jmvstream.com/w/LVW-10801/LVW10801_Xvg4R0u57n/playlist.m3u8
Record,https://rnw-rn.otteravision.com/rnw/rn/rnw_rn.m3u8
Record,https://cdn.jmvstream.com/w/LVW-10842/LVW10842_513N26MDBL/chunklist.m3u8
Band,https://stream1.freetv.fun/band-sports-3.m3u8
Band,https://stream1.freetv.fun/band-news-1.m3u8
Band,https://stream1.freetv.fun/band-news-2.ctv

⚽ Esportes,#genre#
ESPN,https://hls-gateway.vpstv.net/streams/709282.m3u8
ESPN,https://hls-gateway.vpstv.net/streams/709400.m3u8
ESPN,https://hls-gateway.vpstv.net/streams/709401.m3u8
ESPN 2,https://hls-gateway.vpstv.net/streams/709291.m3u8

🎬 Filmes e Séries,#genre#
HBO,https://hls-gateway.vpstv.net/streams/476278.m3u8
HBO,https://hls-gateway.vpstv.net/streams/476972.m3u8
HBO,https://hls-gateway.vpstv.net/streams/476973.m3u8
HBO,https://hls-gateway.vpstv.net/streams/476634.m3u8
HBO,https://hls-gateway.vpstv.net/streams/476633.m3u8
HBO,https://hls-gateway.vpstv.net/streams/476974.m3u8
HBO,https://hls-gateway.vpstv.net/streams/477731.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709552.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709078.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709079.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709080.m3u8
HBO,https://hls-gateway.vpstv.net/streams/476622.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709103.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709104.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709105.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709583.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709584.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709585.m3u8
HBO,https://hls-gateway.vpstv.net/streams/709586.m3u8
HBO,https://hls-gateway.vpstv.net/streams/477733.m3u8
HBO,https://hls-gateway.vpstv.net/streams/602206.m3u8
HBO,https://hls-gateway.vpstv.net/streams/602196.m3u8
HBO,https://hls.iill.top/api/HBO/index.m3u8
HBO,https://hls.iill.top/api/HBO-Hits/index.m3u8
HBO,https://hls.iill.top/api/HBO-Signature/index.m3u8
HBO 2,https://hls-gateway.vpstv.net/streams/477732.m3u8
Warner Channel,https://hls-gateway.vpstv.net/streams/708986.m3u8
Warner Channel,https://hls-gateway.vpstv.net/streams/602243.m3u8
Star Channel,https://hls-gateway.vpstv.net/streams/708993.m3u8
Star Channel,https://hls-gateway.vpstv.net/streams/477814.m3u8
Star Channel,https://goodiptv.club/douyu/9191006
Universal TV,https://xumo-xumoent-ch839-d5ey0.fast.nbcuni.com/live/master.m3u8
TNT,https://hls-gateway.vpstv.net/streams/709389.m3u8
TNT,https://hls-gateway.vpstv.net/streams/709390.m3u8
TNT,https://hls-gateway.vpstv.net/streams/709391.m3u8
TNT,https://hls-gateway.vpstv.net/streams/709392.m3u8
TNT,https://hls.iill.top/api/TNT-Sports-1/index.m3u8
TNT,https://hls.iill.top/api/TNT-Sports-2/index.m3u8
TNT,https://hls.iill.top/api/TNT-Sports-3/index.m3u8
TNT,https://hls.iill.top/api/TNT-Sports-4/index.m3u8

📰 Notícias e Docs,#genre#
Discovery Channel,https://hls-gateway.vpstv.net/streams/708899.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/708900.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/708903.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/477713.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/476648.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/709074.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/605084.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/709075.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/605100.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/709300.m3u8
Discovery Channel,https://hls-gateway.vpstv.net/streams/477746.m3u8
History,https://hls-gateway.vpstv.net/streams/708942.m3u8
History,https://hls-gateway.vpstv.net/streams/477710.m3u8
History,https://hls-gateway.vpstv.net/streams/477648.m3u8
History,https://hls-gateway.vpstv.net/streams/709599.m3u8
History,https://hls-gateway.vpstv.net/streams/602207.m3u8
History,https://tv.iill.top/4gtv/4gtv-live026
National Geographic,https://hls-gateway.vpstv.net/streams/476874.m3u8
CNN Brasil,https://jmp2.uk/sam-GBBD8000016N.m3u8
CNN Brasil,https://turnerlive.warnermediacdn.com/hls/live/586495/cnngo/cnn_slate/VIDEO_4_1064000.m3u8
CNN Brasil,https://hls-gateway.vpstv.net/streams/709560.m3u8
CNN Brasil,https://hls-gateway.vpstv.net/streams/709107.m3u8
CNN Brasil,https://hls-gateway.vpstv.net/streams/709575.m3u8
CNN Brasil,https://hls-gateway.vpstv.net/streams/476863.m3u8
CNN Brasil,https://hls-gateway.vpstv.net/streams/488932.m3u8

🧸 Infantil,#genre#
Cartoon Network,https://hls-gateway.vpstv.net/streams/709541.m3u8
Cartoon Network,https://hls-gateway.vpstv.net/streams/605053.m3u8
Cartoon Network,https://hls-gateway.vpstv.net/streams/709598.m3u8
Cartoon Network,https://hls-gateway.vpstv.net/streams/709450.m3u8
Nickelodeon,https://hls-gateway.vpstv.net/streams/477025.m3u8
Nickelodeon,https://hls-gateway.vpstv.net/streams/605088.m3u8
Nickelodeon,https://hls-gateway.vpstv.net/streams/709545.m3u8
Nickelodeon,https://hls-gateway.vpstv.net/streams/605054.m3u8
Nickelodeon,https://hls-gateway.vpstv.net/streams/605086.m3u8
Nickelodeon,https://hls-gateway.vpstv.net/streams/477714.m3u8
Nickelodeon,https://hls-gateway.vpstv.net/streams/709480.m3u8
Nickelodeon,https://hls-gateway.vpstv.net/streams/602218.m3u8
Nickelodeon,https://tv.iill.top/4gtv/4gtv-live032
Nickelodeon,https://jmp2.uk/plu-5f12151794c1800007a8ae63.m3u8
