ID: 2971065986396947352, Name: CCTV-3, url: http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 360 ms, Speed: 4.80 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -9057956694055948124, Name: CCTV-1, url: http://107.150.60.122/live/cctv1hd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 394 ms, Speed: 8.49 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 8063209076652053372, Name: CCTV-4, url: http://107.150.60.122/live/cctv4k.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 510 ms, Speed: 7.10 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -6169491510308219557, Name: CCTV-4, url: http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 477 ms, Speed: 7.14 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -5662258905552782233, Name: CCTV-6, url: http://38.75.136.137:98/gslb/dsdqpub/cctv6hd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 336 ms, Speed: 3.68 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -7361933680103839925, Name: CCTV-8, url: http://107.150.60.122/live/cctv8hd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 399 ms, Speed: 8.28 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -667403007051883781, Name: CCTV-10, url: http://38.75.136.137:98/gslb/dsdqpub/cctv10hd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 386 ms, Speed: 7.22 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -4611849047649686050, Name: CCTV-11, url: http://107.150.60.122/live/cctv11hd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 396 ms, Speed: 8.35 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 1241204890659549302, Name: CCTV-13, url: http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 322 ms, Speed: 2.85 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 9092618396477869016, Name: CCTV-13, url: http://107.150.60.122/live/cctv13hd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 403 ms, Speed: 8.11 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 7572964955115357498, Name: CCTV-15, url: http://107.150.60.122/live/cctv15hd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 417 ms, Speed: 8.00 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 3066891072387358025, Name: CCTV-16, url: http://107.150.60.122/live/cctv16hd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 391 ms, Speed: 8.42 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 7255753843686059715, Name: CCTV-17, url: http://107.150.60.122/live/cctv17hd.m3u8, From: Subscribe, IPv Type: ipv4, Location: 美国-密苏里州-杰克逊县, ISP: NOCIX数据中心, Delay: 397 ms, Speed: 8.30 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 3956167641310267364, Name: 广东卫视, url: http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub, From: Subscribe, IPv Type: ipv4, Location: 美国-伊利诺伊州-库克, ISP: Cogent, Delay: 415 ms, Speed: 7.97 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -4151914833524383108, Name: CCTV-2, url: http://pull-hls-f1.douyincdn.com/media/stream-695486009191695020/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-20260319185709970C130B04BB06F3F387-CrVCFI&wsSecret=937eec71f76b35ab9e0645446783c330&wsTime=69bbd686, From: Subscribe, IPv Type: ipv4, Location: 美国, ISP: , Delay: 212 ms, Speed: 5.20 M/s, Resolution: 1280x720, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: -285858945970693652, Name: CCTV-13, url: http://pull-hls-f1.douyincdn.com/media/stream-695440843385864876/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-20260319180016A80564ED5545468EA742-GFdhqq&wsSecret=34a32822799c54e7dcdef972de5a9201&wsTime=69bbc931, From: Subscribe, IPv Type: ipv4, Location: 美国, ISP: , Delay: 187 ms, Speed: 5.20 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: aac
ID: 2793122099440324530, Name: 广东卫视, url: http://222.214.208.34:59901/tsfile/live/0125_1.m3u8, From: Subscribe, IPv Type: ipv4, Location: 中国-四川-乐山, ISP: 电信, Delay: 4135 ms, Speed: 0.94 M/s, Resolution: 1920x1080, FPS: 25.0, Video Codec: h264, Audio Codec: mp2
ID: 4446301002345297988, Name: 广东卫视, url: https://txmov2.a.kwimgs.com/upic/2023/01/26/09/BMjAyMzAxMjYwOTE3NDVfNzM5MzQzNzIyXzk0NjI1OTUwNTA3XzBfMw==_b_B81ddda927d33445d544befd008e60109.mp4, From: Subscribe, IPv Type: ipv4, Location: 日本, ISP: , Delay: 471 ms, Speed: 9.65 M/s, Resolution: 1280x720, FPS: 24.999721701184995, Video Codec: h264, Audio Codec: aac
